snapshot_utc,fetched_utc,station_id,legacy_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,6eaa7343-402d-41c9-9aac-8c664fdbdcf1,6eaa7343-402d-41c9-9aac-8c664fdbdcf1,0,0,0,0,0,0,0,0,86400
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,2036412579943670600,2036412579943670600,4,4,0,8,0,1,1,1,1790221210
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,2227859082657747444,2227859082657747444,3,0,0,4,0,1,1,1,1790221245
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,eed9e64f-f09d-43c1-aa31-da968c66750a,368,15,5,0,0,0,1,1,1,1790221324
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,dcd76e42-eebc-4432-9726-cdb3372b0b07,557,1,0,0,18,0,1,1,1,1790221324
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,cad0e759-b605-458a-b772-768dcce81dc6,372,0,0,0,18,0,1,1,1,1790221326
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,986068c4-d11a-465a-b8d0-bd0960c57f51,986068c4-d11a-465a-b8d0-bd0960c57f51,1,0,1,12,0,1,1,1,1790221362
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,9b0aff89-5242-475e-b03b-87c3c3bf51bb,477,17,5,1,1,0,1,1,1,1790221362
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,ea00f276-26dc-48ee-b2c8-6e56fd632a2d,272,2,1,0,17,0,1,1,1,1790221361
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,2127252912986958612,2127252912986958612,6,1,0,9,0,1,1,1,1790221361
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,2250817396738253956,2250817396738253956,9,0,0,6,0,1,1,1,1790221310
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,e335fa7c-7adf-4360-9bfa-76b18124a56f,541,9,6,0,2,0,1,1,1,1790221344
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,8bc42f7f-753d-4cca-a7d6-0d7c2530ea2c,364,11,1,0,8,0,1,1,1,1790221345
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,57f5003b-6574-40b3-83d7-3b5dee1472e0,518,8,4,0,3,0,1,1,1,1790221348
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,1994515539257334312,1994515539257334312,18,7,0,1,0,1,1,1,1790221354
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,97a1e4e7-a1ff-427a-aaea-48ca0d00bf9c,348,11,3,0,4,0,1,1,1,1790221350
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,f83532fa-0de8-11e7-991c-3863bb43a7d0,219,11,0,0,4,0,1,1,1,1790221368
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,f83466c6-0de8-11e7-991c-3863bb43a7d0,6,7,2,2,5,0,1,1,1,1790221368
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,f83473ea-0de8-11e7-991c-3863bb43a7d0,27,16,0,2,5,0,1,1,1,1790221371
2026-09-24T03:44:07+00:00,2026-09-24T03:45:08.140562+00:00,f834b1ed-0de8-11e7-991c-3863bb43a7d0,99,14,2,0,0,0,1,1,1,1790221372
