snapshot_utc,fetched_utc,station_id,legacy_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,6eaa7343-402d-41c9-9aac-8c664fdbdcf1,6eaa7343-402d-41c9-9aac-8c664fdbdcf1,0,0,0,0,0,0,0,0,86400
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,f55cdf0a-3d7b-491c-bed2-7dc0ef2062d5,489,10,3,0,6,0,1,1,1,1789865048
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,f8350199-0de8-11e7-991c-3863bb43a7d0,150,14,2,0,5,0,1,1,1,1789865046
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,1997031876360597884,1997031876360597884,6,6,1,4,0,1,1,1,1789865052
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,acb27827-d69a-4287-b132-3f529ca62ad2,427,12,8,0,7,0,1,1,1,1789865061
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,625f105e-4407-4988-9095-d1979cbda5e1,234,4,2,0,15,0,1,1,1,1789865058
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,25d6f87f-7025-48c5-b202-f91511a4ae19,25d6f87f-7025-48c5-b202-f91511a4ae19,6,0,0,13,0,1,1,1,1789865059
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,f834c5c9-0de8-11e7-991c-3863bb43a7d0,110,1,1,0,14,0,1,1,1,1789865059
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,f8351255-0de8-11e7-991c-3863bb43a7d0,174,9,0,0,6,0,1,1,1,1789865054
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,f8351649-0de8-11e7-991c-3863bb43a7d0,183,2,1,1,17,0,1,1,1,1789865054
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,2134720099473744344,2134720099473744344,3,2,0,18,0,1,1,1,1789865024
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,4d953f0f-13b5-4b3d-b2da-342003ff7cba,4d953f0f-13b5-4b3d-b2da-342003ff7cba,5,3,0,6,0,1,1,1,1789865058
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,e519df41-c4d7-403a-9afa-a5dd7cdd2d03,536,2,0,1,15,0,1,1,1,1789865063
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,1991921362058752616,1991921362058752616,0,0,0,20,0,1,1,1,1789865064
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,f834cb89-0de8-11e7-991c-3863bb43a7d0,115,15,3,1,3,0,1,1,1,1789865066
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,1976640911178291400,1976640911178291400,2,1,0,9,0,1,1,1,1789865067
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,2027855476515070160,2027855476515070160,7,0,0,20,0,1,1,1,1789865067
2026-09-20T00:46:17+00:00,2026-09-20T00:47:12.707333+00:00,f834f036-0de8-11e7-991c-3863bb43a7d0,133,18,0,0,5,0,1,1,1,1789865037
